Qual sua idade?,Qual é o seu gênero?,Antes de conhecer a MusicDot você tinha algum conhecimento musical?,Você tem uma matrícula ativa da MusicDot?,Você assina o plano Semestral ou Anual?,Você pediu para fazer um teste da MusicDot antes de se matricular?,Qual é o seu principal objetivo com aprendizagem musical? (Pode selecionar mais de uma opção),Qual dessas categorias te atraiu no 1º momento? (Pode selecionar mais de uma opção),Você está atualmente fazendo aulas de que instrumento?,Qual o nível do curso que você está fazendo?,Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Repertório],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Professor],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Exercícios],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Material de apoio],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Qualidade dos vídeos],Qual a sua nota para as categorias abaixo com relação ao curso que está fazendo? [Didática],Como você avalia a variedade de estilos musicais para os cursos da MusicDot?,"Com relação aos recursos da MusicDot, que nota você daria para: [Acompanhamento dos professores pelo fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Tempo de resposta no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Postar um vídeo ou áudio no fórum]","Com relação aos recursos da MusicDot, que nota você daria para: [Usar aplicativo da MusicDot]","Com relação aos recursos da MusicDot, que nota você daria para: [Download dos materiais das aulas]",Quais são os pontos negativos em se estudar na MusicDot?,Quais são os pontos positivos em estudar na MusicDot? ,"Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?",Qual a melhor forma de te avisarmos sobre novos lançamentos de cursos e funcionalidades da plataforma?,Quais foram as suas primeiras impressões em relação a MusicDot? (Pode selecionar mais de uma opção),O que te motiva acompanhar a MusicDot pelas redes sociais ? (Pode selecionar mais de uma opção),"Hoje se você fosse aprender algum instrumento musical, qual seria o principal objetivo ? (Pode selecionar mais de uma opção)",Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Preço],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Diversas opções de pagamento],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Suporte online para esclarecimentos de dúvidas],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Material impresso],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Acesso Vitalício],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Conteúdo dos cursos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Didática],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Planos oferecidos],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Estilos musicais variados],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Reputação da escola],Classifique os níveis de PRIORIDADE de acordo com o que julga ser mais importante na contratação de um serviço de ensino online? [Indicação de um amigo],Você sabia que existe a possibilidade de testar a MusicDot?,Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot?,Qual plano você havia contratado?,Por quanto tempo ficou na plataforma?,Há quanto tempo você saiu da plataforma?,Porque você deixou de ser aluno da MusicDot? (Pode selecionar mais de uma opção),Gostaria de dar mais detalhes sobre sua saída?,Você estudaria novamente na MusicDot?,"Você gostaria que a gente entrasse em contato pelo e-mail para oferecer um teste da MusicDot, para você ver as novidades desde que saiu?","Em uma escala de 0 a 10, o quanto você recomendaria a MusicDot a um amigo(a) ou colega?.1",Como conheceu a MusicDot? (Pode selecionar mais de uma opção),Poderia dar mais detalhes de como conheceu a gente?,Você acompanha a MusicDot em alguma rede social ou meio? Qual? (Pode selecionar mais de uma opção),Você fez algum acampamento de música?,Quando fez o acampamento de música você já assinava a MusicDot?,Poderia falar pra gente o que te motivou a fazer o acampamento?,Quer deixar algum comentário final pra equipe da MusicDot?
de 35 a 44 anos,Mulher,2,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Desejo dar aula um dia, Pretendo fazer faculdade de música","Teclado, Violão, Guitarra",Guitarra,Básico,3,4,4,2,5 - Excelente,3,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não há pontos negativos ,"Flexibilidade de horários, poder visualizar novamente as aulas. ",10.0,"""Sininho"" de avisos da plataforma, email (newsletter), post no Facebook da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,Procurando na internet no google mesmo ,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 45 a 54 anos,Mulher,2,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online","Gosto de ficar por dentro das novidades do mundo musical, Gosto de acompanhar alguns conteúdos produzidos","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Alta,Alta,Muito alta,Média,Muito alta,Muito alta,Muito alta,Alta,Muito alta,Alta,Alta,Não,Sim,,,,,,,,,"Indicação de amigos ou família, Acampamento de Música","uma amiga que segue a página do instagram ficou sabendo do acampamento e indicou, fiz a inscrição e gostei muito. ","Youtube, Instagram",Sim,Não,"eu canto em um coral, mas tenho vontade de um aprendizado mais personalizado e individual. por ser um evento gratuito me motivou bastante, pois não tinha nenhuma experiência com aprendizado on-line. gostei bastante da experiência e da escola. ","gostei bastante da empresa, da professora, da dinâmica das aulas, dos exercícios e acompanhamento do aluno. "
Abaixo de 18 anos,Mulher,5,Não,,,,,,,,,,,,,,,,,,,,,,,"É uma página de conteúdo sobre música, Meu sonho é ser cantora",Meu sonho é ser cantora,Desejo ter um grupo ou banda,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Não,Sim,,,,,,,,,Email marketing,Vc mim mandaram mensagem,Não acompanho em nenhum lugar,Não,Sim,Quero ser cantora,Gostei das perguntas
Abaixo de 18 anos,Mulher,5,Não,,,,,,,,,,,,,,,,,,,,,,,"É uma página de conteúdo sobre música, Meu sonho é ser cantora",Meu sonho é ser cantora,Desejo ter um grupo ou banda,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Baixa,Não,Sim,,,,,,,,,Email marketing,Vc mim mandaram mensagem,Não acompanho em nenhum lugar,Não,Sim,Quero ser cantora,Gostei das perguntas
de 35 a 44 anos,Mulher,1,Sim,Semestral,"Não, eu não sabia que havia a possibilidade de testar","Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Teclado, Canto",Canto,Básico,4,4,4,4,4,4,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,4,5 - Nenhuma dificuldade/ Adorei,"Por não usar o fórum me sinto meio isolada, não senti progresso, acabei parando",fazer aula no momento que posso/quero,9.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,Estava procurando aula de canto online,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 55 a 64 anos,Homem,3,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar",Quero melhorar minhas habilidades musicais,"Teclado, Violão, Canto, Ukulelê",Violão,Intermediário,5 - Excelente,5 - Excelente,4,4,4,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,4,4,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Aumentar o reportorio,qualidade dos cursos,10.0,"email (newsletter), Youtube da MusicDot",,,,,,,,,,,,,,,,,,,,,,,,,Youtube,atraves do youtube,Youtube,Não,Não fiz o acampamento,,falta um curso de viola caipira e violao fingerstyle e gaita
de 25 a 34 anos,Homem,3,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 3 meses,"Não tenho tempo para estudar, Não gostei do período de fidelização dos planos, Não ter contato direto com os professores por outro canal que não seja o fórum",Nas aulas de cavaquinho e piano faltava exercícios entre as músicas. Eu fiquei travado em uma aula de cavaquinho por que não conseguia tirar a música e isso me desmotivou. Hoje faço piano em outra plataforma e estou preferindo o conteúdo.,Talvez,Sim,5.0,Youtube,,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,3,Sim,Anual,"Não, eu não sabia que havia a possibilidade de testar","Passatempo, Desejo ter um grupo ou banda, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Teclado, Piano",Teclado,Intermediário,4,5 - Excelente,4,3,4,4,4.0,Não uso/Não sei opiniar,Não uso/Não sei opiniar,Não uso/Não sei opiniar,4,4,,,10.0,"email (newsletter), Grupo de Telegram",,,,,,,,,,,,,,,,,,,,,,,,,Pesquisando no Google,,Newsletter,Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,5,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,"Gosto de ficar por dentro das novidades do mundo musical, Gosto de acompanhar alguns conteúdos produzidos","Tocar/cantar na igreja, Quero me profissionalizar na música",Muito alta,Média,Média,Muito baixa,Muito alta,Média,Muito alta,Média,Baixa,Muito alta,Alta,Sim,Não,,,,,,,,,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 18 a 24 anos,Homem,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 3 meses,"Não estou em condições financeiras no momento, Queria uma  licença vitalícia do curso",,Sim,Sim,9.0,"Youtube, Pesquisando no Google",Procurava uma escola de música on-line e achei a musicdot,Youtube,Não,Não,,Equipe muito boa 
de 25 a 34 anos,Homem,0,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,Cancelei antes o fim de vigência do meu plano,Menos de 1 mês,"Não existe os gêneros musicais da minha preferência, Sinto que não aprendi tanto com a plataforma, Não gostei tanto dos conteúdos","Achei que o professor foi muito infeliz ao ensinar violão, a primeira aula já foi difícil o suficiente, a segunda aula já foi impossível. Ou seja, a progressão é muito difícil pelo modo que foi ensinado. Voltei ao ensino presencial ",Não,Sim,0.0,Podcast,,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 55 a 64 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,É uma escola de música online,"Quero aprender um instrumento musical, Gosto de avaliações de instrumentos musicais",Passatempo,Média,Alta,Muito alta,Alta,Média,Muito alta,Muito alta,Alta,Alta,Muito alta,Média,Não,Sim,,,,,,,,,"Youtube, Pesquisando no Google",PESQUISANDO A AVALIAÇÃO DE UM MODELO DE TECLADO,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,NÃO FIZ,
de 35 a 44 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma escola de música online","Quero aperfeiçoar o que já sei através dos conteúdos, Gosto de acompanhar alguns conteúdos produzidos","Tocar/cantar na igreja, Quero melhorar minhas habilidades musicais, Fazer novas amizades",Alta,Muito alta,Muito alta,Baixa,Alta,Muito alta,Muito alta,Muito alta,Alta,Muito alta,Muito alta,Não,Sim,,,,,,,,,Acampamento de Música,Fiz o acampamento de canto. Infelizmente o acampamento caiu em uma semana muito complicada no meu trabalho e não consegui acompanhar 100%. Adorei as aulas da Mari e tenho vontade de continuar.,Instagram,Sim,Não,Aprendizado,"Conheço pouca gente da equipe, mas quem pude conhecer, deu para ver que são bem carismáticos."
de 18 a 24 anos,Homem,2,Não,,,,,,,,,,,,,,,,,,,,,,,"É um canal no Youtube sobre aprendizagem musical, É uma plataforma de cursos avulsos de música",Quero aperfeiçoar o que já sei através dos conteúdos,"Passatempo, Fazer novas amizades, Quero me profissionalizar na música",Baixa,Muito alta,Muito alta,Alta,Média,Muito alta,Muito alta,Alta,Alta,Baixa,Muito alta,Não,Sim,,,,,,,,,Instagram,Através de um ad no instagram ou recomendação no YouTube,"Youtube, Instagram",Sim,Não,"Aprender e vivênciar uma experiência com pessoas que tem mais vivência que eu no mundo da música, além de anotar e por em praticar os conteúdos passados.","Parabéns pelo trabalho incrível de vocês, cada um faz um pedacinho e isso é incrível, muito obrigado a cada um de vocês!."
de 45 a 54 anos,Homem,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Menos de 6 meses,Sinto que não aprendi tanto com a plataforma,"Achei que nao havia nenhum exercício para praticar a mao esquerda,  por isso não consegui avançar no curso",Sim,Sim,10.0,Youtube,,Youtube,Não,Não fiz o acampamento,,
de 25 a 34 anos,Homem,1,Não,,,,,,,,,,,,,,,,,,,,,,,"É uma escola de música online, É uma plataforma de cursos avulsos de música",Quero aprender um instrumento musical,Passatempo,Muito alta,Média,Média,Muito baixa,Média,Média,Muito alta,Muito alta,Média,Alta,Muito alta,Não,Sim,,,,,,,,,Grupo Caelum Alura,Sou aluna da Alura. Conheci através do site alura.,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 35 a 44 anos,Homem,4,Sim,Anual,"Não, eu não vi necessidade em experimentar","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical",Guitarra,Teclado,Básico,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,Não uso/Não sei opiniar,Não uso/Não sei opiniar,5 - Nenhuma dificuldade/ Adorei,,,10.0,email (newsletter),,,,,,,,,,,,,,,,,,,,,,,,,"Youtube, Indicação de influenciadores / youtubers/ podcast",Conheci através de um vídeo do Nerdologia,Instagram,Não,Não fiz o acampamento,,
de 25 a 34 anos,Mulher,2,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,6 meses,Por volta de 1 ano,"Não tenho tempo para estudar, Não estou em condições financeiras no momento",,Sim,Não,10.0,"Instagram, Pesquisando no Google","Um dia apareceu uma propaganda no Instagram, eu fui pesquisar mais sobre no Google, gostei e me matriculei",Instagram,Não,Não fiz o acampamento,,"O ensino é ótimo, como em qualquer estudo, é preciso disciplina e separar ao menos uma hora por dia para estudar. O ensino é super didático até pra quem nunca tocou nenhum instrumento, é muito bom! Eu infelizmente tive que deixar o MusicDot por enquanto por motivos financeiros, mas pretendo voltar em breve. Achei o valor ótimo, vale muito a pena. Qualquer dúvida que tive, mandei e-mail e rapidamente me responderam. Sempre muito atenciosos. Muito obrigada por enquanto! Espero poder voltar logo!"
de 25 a 34 anos,Mulher,1,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano anual,1 ano,Por volta de 1 ano,"Sinto que não aprendi tanto com a plataforma, Não gostei tanto dos conteúdos",,Talvez,Sim,4.0,Pesquisando no Google,,Não acompanho em nenhum lugar,Não,Não fiz o acampamento,,
de 18 a 24 anos,Mulher,3,Sim,Anual,"Não, eu não vi necessidade em experimentar","Passatempo, Quero melhorar minhas habilidades musicais, Quero aprender teoria musical","Piano, Canto",Teclado,Intermediário,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5 - Excelente,5.0,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,5 - Nenhuma dificuldade/ Adorei,4,5 - Nenhuma dificuldade/ Adorei,,Praticidade e flexibilidade de horário,10.0,post no Instagram da MusicDot,,,,,,,,,,,,,,,,,,,,,,,,,Indicação de amigos ou família,"O namorado da minha irmã toca piano MUITO bem, aprendeu tudo com vocês!","Youtube, Instagram",Sim,Sim,"Mais conhecimento, adoro a didática da Mari","Eu ia amar vendo o Pedro fazendo reacts de alguns vídeos de piano, assim como a Mari faz de canto!"
de 25 a 34 anos,Homem,1,"Já tive, mas hoje não tenho mais",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plano semestral,1 ano,Bem mais do que 1 ano,"Não tenho tempo para estudar, Queria uma  licença vitalícia do curso","Tive que sair por falta de tempo. Acabei adquirindo um outro curso vitalício, porque assim poderia estudar depois. Apesar de minha saída, considero a plataforma excelente, e já indiquei para alguns parentes e amigos. A didática do professor Pedro me ajudou muito!",Sim,Não,10.0,Pesquisando no Google,"Busquei na internet por uma plataforma de ensino de teclado online, a musicdot tinha uma boa reputação e um preço acessível, por isso foi minha escolha na época.",Youtube,Não,Não fiz o acampamento,,"Pretendo dar continuidade nos meus estudos no futuro. Com certeza indicaria a plataforma, o conteúdo é sem dúvida um dos melhores que já conheci."
